,id,bedrooms,numberOfImages,numberOfFloorplans,numberOfVirtualTours,summary,displayAddress,propertySubType,premiumListing,featuredProperty,price,transactionType,commercial,development,residential,students,auction,feesApply,displaySize,channel,firstVisibleDate,onlineViewingsAvailable,heading,formattedBranchName,addedOrReduced,isRecent,hasBrandPlus,propertyTypeFullDescription,latitude,longitude,displayPrice,listingUpdateReason,listingUpdateDate,branchName,branchLocation,region_id
83,86061211,1,1,0,0,"GUIDE PRICE £8,000 - For more information and legal documents visit our website ","Demesne Road, MANCHESTER",Ground Flat,False,False,8000,buy,False,False,True,False,True,False,,BUY,,False,," by Barnard Marcus, Hammersmith Auctions",Added on 23/10/2020,False,True,1 bedroom ground floor flat for sale,53.44845,-2.246984,8000.0,new,,Barnard Marcus,Hammersmith Auctions,E05000716
84,75352665,1,1,0,0,"For Sale By Public Auction 09 December 2020 A Leasehold Residential Investment Property
Current Gross Income: £3,120 pa","115a Montgomery House, Demesne Road, Manchester, M16 8PH",Flat,False,False,7000,buy,False,False,True,False,True,False,,BUY,,False,," by Bond Wolfe Auctions, Birmingham",Added on 17/11/2020,False,True,1 bedroom flat for sale,53.448456,-2.246984,7000.0,new,,Bond Wolfe Auctions,Birmingham,E05000716
85,75352698,1,1,0,0,"For Sale By Public Auction 09 December 2020 A Leasehold Residential Investment Property
Current Gross Income: £3,120 pa","206a Montgomery House, Demesne Road, Manchester, M16 8PH",Flat,False,False,7000,buy,False,False,True,False,True,False,,BUY,,False,," by Bond Wolfe Auctions, Birmingham",Added on 17/11/2020,False,True,1 bedroom flat for sale,53.448456,-2.246984,7000.0,new,,Bond Wolfe Auctions,Birmingham,E05000716
86,86084965,0,2,0,1,"FOR SALE BY LIVE STREAM AUCTION ON TUESDAY 8TH DECEMBER 2020 *GUIDE PRICE £5,000 - £10,000. A Freehold Parcel of Amenity Land Comprising Approximately 0.29 Acres/0.12 Hectares. Situated in the popular residential area of Roundthorn the sale is of a parcel of Amenity Land, more particu...","Whitehouse Avenue, Oldham, OL4",Land,False,False,5000,buy,True,False,True,False,True,False,,COMMERCIAL_BUY,,False,,"Marketed by Auction House, Manchester",,False,True,Land for sale,53.537129,-2.090727,5000.0,new,,Auction House,Manchester,E05000735
87,86895487,1,12,0,1,"For Sale By Online Auction. Starting Bids £4,000. Terms and Conditions Apply. Situated in Whalley Range at Demesne Road close to the park this is a development of over 200 student/none student units offering good facilities. We are delighted to be offering this well presented room for ...","Demesne Road, Manchester, Greater Manchester, M16 8PH",House of Multiple Occupation,False,False,4000,buy,False,False,True,False,True,False,,BUY,,False,," by Pattinson Estate Agents, Auction",Added on 18/11/2020,False,True,1 bedroom house of multiple occupation for sale,53.44844,-2.24698,4000.0,new,,Pattinson Estate Agents,Auction,E05000716
88,86895190,1,13,0,1,"For Sale By Online Auction. Starting Bids £4,000. Terms and Conditions Apply. Situated in Whalley Range at Demesne Road close to the park this is a development of over 200 student/none student units offering good facilities. We are delighted to be offering this well presented room for ...","Demesne Road, Manchester, Greater Manchester, M16 8PH",House of Multiple Occupation,False,False,4000,buy,False,False,True,False,True,False,,BUY,,False,," by Pattinson Estate Agents, Auction",Added on 18/11/2020,False,True,1 bedroom house of multiple occupation for sale,53.44844,-2.24698,4000.0,new,,Pattinson Estate Agents,Auction,E05000716
89,98813387,2,4,0,0,"Bank House is a development of 13 contemporary apartments, situated in the beating heart of Withington village in South Manchester. Prices start from £205,000 enquire for full price list. Designed with environmentally friendly and energy saving features, these high quality and thoughtful one and...","Bank House, Withington",Flat,False,False,1000,buy,False,False,True,False,False,False,,BUY,,False,," by Belvoir, Manchester Central",Added on 22/10/2020,False,True,2 bedroom flat for sale,53.434261,-2.226898,POA,new,,Belvoir,Manchester Central,E05000717
90,86728366,0,4,0,0,FOR SALE BY AUCTION on 9 DECEMBER 2020 at Online Auction commencing at 09:00 prompt. ,"Land At Holme Park Close, Ince, Lancashire, WN3",Land,False,False,99,buy,True,False,True,False,True,False,"85,378 sq. ft.",COMMERCIAL_BUY,,False,,"Marketed by PUGH & COMPANY LIMITED, Newton-Le-Willows",,False,True,Land for sale,53.532431,-2.612496,99.0,new,,PUGH & COMPANY LIMITED,Newton-Le-Willows,E05000851
91,86968960,0,2,0,0,FOR SALE BY AUCTION on 9 DECEMBER 2020 at Online Auction commencing at 09:00 prompt. ,"Land At Rowena Street, Bolton, Lancashire, BL3",Land,False,False,99,buy,True,False,True,False,True,False,,COMMERCIAL_BUY,,False,,"Marketed by PUGH & COMPANY LIMITED, Newton-Le-Willows",,False,True,Land for sale,53.558645,-2.404744,99.0,new,,PUGH & COMPANY LIMITED,Newton-Le-Willows,E05000655
92,86454556,0,2,0,0,FOR SALE BY AUCTION on 9 DECEMBER 2020 at Online Auction commencing at 09:00 prompt. ,"Land Off Bradshaw Street And Salcombe Close, Wigan, Lancashire, WN1",Land,False,False,99,buy,True,False,True,False,True,False,"13,993 sq. ft.",COMMERCIAL_BUY,,False,,"Marketed by PUGH & COMPANY LIMITED, Newton-Le-Willows",,False,True,Land for sale,53.553487,-2.616785,99.0,new,,PUGH & COMPANY LIMITED,Newton-Le-Willows,E05000861
93,86454553,0,2,0,0,FOR SALE BY AUCTION on 9 DECEMBER 2020 at Online Auction commencing at 09:00 prompt. ,"Land At Dorset Street, Hindley, Wigan, Lancashire, WN2",Land,False,False,99,buy,True,False,True,False,True,False,"12,917 sq. ft.",COMMERCIAL_BUY,,False,,"Marketed by PUGH & COMPANY LIMITED, Newton-Le-Willows",,False,True,Land for sale,53.537625,-2.569101,99.0,new,,PUGH & COMPANY LIMITED,Newton-Le-Willows,E05000849
