id,canonical_id,is_active,source_provenance,_row_ix,displayAddress,city,postcode,latitude,longitude,geohash6,propertySubType,propertyTypeFullDescription,bedrooms,summary,price,displayPrice,transactionType,channel,auction,numberOfImages,numberOfFloorplans,numberOfVirtualTours,has_floorplan,has_virtual_tour,has_parking,has_balcony,has_garden,new_build,student_friendly,investment,formattedBranchName,branchName,branchLocation,firstVisibleDate,listingUpdateDate,updated_recency_band,price_band,has_media_score,region_id
74183112,b7f3525caf5268df08d6f614af60fc10f66546f8,True,manchester_properties_for_sale_mini.csv,11,"Duke Street, Leigh, Greater Manchester, WN7 2DP",Greater Manchester,WN72DP,53.49394,-2.50654,gcw0qf,Flat,1 bedroom flat for sale,1,"For Sale By Online Auction. Starting bid £50,000. Terms and conditions apply. We welcome to the market this one bedroom apartment on the top floor. The property is for sale with a tenant in situ exclusively with Simply Residential. The property has an open plan living room and modern k...",50000,50000.0,buy,BUY,True,6,1,0,True,False,False,False,False,False,False,False,"by Pattinson Estate Agents, Auction",Pattinson Estate Agents,Auction,,,unknown,50–100k,2.9459101490553135,E05000853
97801844,b8d0cd4434ee76f68c0168ef0809b0322c237980,True,manchester_properties_for_sale_mini.csv,23,"6 Nelson Square, Bolton",Bolton,,53.577857,-2.427103,gcw2bc,Apartment,Studio apartment for sale,0,"Situated on Nelson Square in the centre of Bolton is this modern block of studio apartments which are handily located close to all of Bolton's amenities. Internally the property offers a bedroom, lounge/living area and shower room. Superb investment opportunity.",45000,45000.0,buy,BUY,False,8,0,0,False,False,False,False,False,False,False,True,"by Jordan & Halstead, Chester - Sales",Jordan & Halstead,Chester - Sales,,,unknown,<50k,2.1972245773362196,E05000656
86596702,ba27b339add3c3eb42cc90edf58a17d36775a54f,True,manchester_properties_for_sale_mini.csv,8,"39 NEW STREET, PLATT BRIDGE, WIGAN, LANCASHIRE",Lancashire,,53.51785,-2.5996,gcw0ky,Semi-Detached,3 bedroom semi-detached house for sale,3,"*Guide Price: £50,000 +. Public Auction : Thursday, 10 December 2020 at , Virtual Livestream Online Auction GET READY TO BID BY VISITING THE AUCTIONEERS WEBSITE GUIDE PRICES & RESERVE PRICES Guide Price An indication of the seller’s current minimum acceptable price at auc...",50000,50000.0,buy,BUY,True,1,0,0,False,False,False,False,False,False,False,False,"by Sutton Kersh Auction, Liverpool - Auction",Sutton Kersh Auction,Liverpool - Auction,,,unknown,50–100k,0.6931471805599453,E05000840
80825464,c2a6ca7d5f0ebad852b11d434428303ba63646aa,True,manchester_properties_for_sale_mini.csv,24,"Pilkington Drive, Whitefield, Manchester, Greater Manchester, M45",M45,,53.55618,-2.273319,gcw2sm,Apartment,1 bedroom apartment for sale,1,"This property is for sale by the Modern Method of Auction which is not to be confused with traditional auction. The Modern Method of Auction is a flexible buyer friendly method of purchase. We do not require the purchaser to exchange contracts immediately, however from the date the Draft Contract...",45000,45000.0,buy,BUY,True,8,1,0,True,False,False,False,False,False,False,False,"by Miller Metcalfe, Bury",Miller Metcalfe,Bury,,,unknown,<50k,3.1972245773362196,E05000670
86548384,c7f6b1050acf9272942763c7596b0e0e625c5aa0,True,manchester_properties_for_sale_mini.csv,29,"Highclere Avenue, Salford, M7",M7,,53.504548,-2.246651,gcw2ku,Apartment,1 bedroom apartment for sale,1,"FOR SALE BY LIVE STREAM AUCTION ON TUESDAY 8TH DECEMBER 2020 AT 2PM *GUIDE PRICE £45,000 - £55,000. A Sixth Floor, One Bedroomed Apartment Producing £5,760pa (£480pcm) Investment opportunity!!! Occupying the 6th Floor and whilst not inspected we have been advised that the ...",45000,45000.0,buy,BUY,True,1,0,1,False,True,False,False,False,False,False,True,"by Auction House, Manchester",Auction House,Manchester,,,unknown,<50k,1.6931471805599454,E05000761
75352698,c953ef2429046cb24fe7f163a86eddf8abe96679,True,manchester_properties_for_sale_mini.csv,84,"206a Montgomery House, Demesne Road, Manchester, M16 8PH",Manchester,M168PH,53.448456,-2.246984,gcw2hc,Flat,1 bedroom flat for sale,1,"For Sale By Public Auction 09 December 2020 A Leasehold Residential Investment Property Current Gross Income: £3,120 pa",7000,7000.0,buy,BUY,True,1,0,0,False,False,False,False,False,False,False,True,"by Bond Wolfe Auctions, Birmingham",Bond Wolfe Auctions,Birmingham,,,unknown,<50k,0.6931471805599453,E05000716
100009670,cc4093269370d9645a94e777bfe6fd97ba26ffc0,True,manchester_properties_for_sale_mini.csv,22,"Viking Street, Burnden Park, Bolton TWO BED TERRACE, IDEAL INVESTMENT, CLOSE TO TOWN CENTRE",Close To Town Centre,,53.565117,-2.415784,gcw29p,Terraced,2 bedroom terraced house for sale,2,"BIDDING STARTS online on the 8th December and concludes on the 9th December. Please visit for more information Offered for sale by auction is this two bedroom mid terrace property placed on the periphery of the town centre of Bolton, within particularly easy re...",45000,45000.0,buy,BUY,True,10,1,1,True,True,False,True,False,False,False,False,"by Cardwells Sales, Lettings, Management & Commercial, Bolton","Cardwells Sales, Lettings, Management & Commercial",Bolton,,,unknown,<50k,4.397895272798371,E05000656
86105770,d6bf18a79b1ce9feab4be37736348be203151ac2,True,manchester_properties_for_sale_mini.csv,2,"Spindletree Avenue, Manchester, M9",M9,,53.528936,-2.194279,gcw2w0,Apartment,2 bedroom apartment for sale,2,"FOR SALE BY LIVE STREAM AUCTION ON TUESDAY 8TH DECEMBER 2020 AT 2PM *GUIDE PRICE £50,000 - £60,000. A Tenanted Two Bedroomed Fifth Floor Apartment Producing £7,200pa/£600pcm. This smartly presented apartment is currently occupied under an Assured Shorthold Tenancy at a ren...",50000,50000.0,buy,BUY,True,6,1,1,True,True,False,False,False,False,False,True,"by Auction House, Manchester",Auction House,Manchester,,,unknown,50–100k,3.9459101490553135,E05000693
45696435,dbf879a76e6e51e4e7bce34d591d7e9b8aae1e1d,True,manchester_properties_for_sale_mini.csv,76,"Parking at Lincoln Gate, Green Quarter, 39 Red Bank",39 Red Bank,,53.49143,-2.23885,gcw2m1,Parking,Parking for sale,0,"PARKING SPACE FOR SALE. Superb investment or perfect for owners within the 1,000 apartments that make up the Green Quarter. Achievable rent £75-£80 pcm Lincoln Gate is positioned neighbouring the Green Quarter and is easily accessible from the many residential a...",14950,14950.0,buy,BUY,False,5,0,0,False,False,True,False,False,False,False,True,"by Cherry Picked Properties, Heald Green",Cherry Picked Properties,Heald Green,,,unknown,<50k,1.791759469228055,E05000694
59386260,dc396d45f607cd7d1559ace56d0e3daedb8a6651,True,manchester_properties_for_sale_mini.csv,60,"Tower Grove, Leigh, WN7 2TZ",Leigh,WN72TZ,53.50183,-2.4854,gcw0r7,Apartment,1 bedroom apartment for sale,1,HUNTERS in Leigh are proud to market for sale a one bedroom ground floor flat on a 50% shared ownership scheme for over 55's.,30000,30000.0,buy,BUY,False,13,0,0,False,False,False,False,False,False,False,False,"by Hunters, Leigh",Hunters,Leigh,,,unknown,<50k,2.6390573296152584,E05000852
63023028,e154c2d8af0b7aa204372e9d9e9bfb683cb8faec,True,manchester_properties_for_sale_mini.csv,61,"Tower Grove, Leigh, Greater Manchester, WN7",Wn7,,53.50183,-2.4854,gcw0r7,Flat,1 bedroom flat for sale,1,"We are delighted to offer for sale this one bedroom ground floor apartment available for the over 55's. 50% shared ownership is also available for £30,000 subject to eligibility. Bridgfords welcome NEW to the market this ground floor apartment easy to maintain. On entrance through the...",30000,30000.0,buy,BUY,False,7,1,1,True,True,False,False,False,False,False,False,"by Bridgfords, Newton-le-Willows",Bridgfords,Newton-le-Willows,,,unknown,<50k,4.079441541679836,E05000852
91084193,e48afba05fed099ed06b736f77306d4843b51c2c,True,manchester_properties_for_sale_mini.csv,57,"The Cube 101, Bolton, Lancashire, BL1",Bl1,,53.577364,-2.425601,gcw2bc,Apartment,1 bedroom apartment for sale,1,"*** CALLING ALL INVESTORS !!! EXCITING OPPORTUNITY TO PURCHASE OCCUPIED LUXURY STUDENT ACCOMMODATION THAT IS ALREADY DELIVERING IMPRESSIVE YIELDS *** Designed with an emphasis on style and quality, The Cube's innovative design sets a new level for luxury student living and provide its residents w...",35000,35000.0,buy,BUY,False,1,0,0,False,False,False,False,False,False,True,False,"by Miller Metcalfe, Bolton",Miller Metcalfe,Bolton,,,unknown,<50k,0.6931471805599453,E05000656
86966101,e6715ee13a2efcb4ac34fda33672d1050470803f,True,manchester_properties_for_sale_mini.csv,66,"Laxey Crescent, Leigh, WN7",Wn7,,53.5077,-2.54096,gcw0qh,Semi-Detached,3 bedroom semi-detached house for sale,3,For Sale By Public Auction on 3rd December 2020. Please note that the Auction will be an online auction via our website with Remote Bidding. You must pre-register to bid no later than 8am on Thursday 3rd December. For further information including viewing times and legal packs please visit...,25000,25000.0,buy,BUY,True,2,0,0,False,False,False,False,False,False,False,False,"by Taylor James Auctions LTD, Birmingham",Taylor James Auctions LTD,Birmingham,,,unknown,<50k,1.0986122886681098,E05000854
84490501,e752ba0d619d6c9f2b9f3158909942836fb1347c,True,manchester_properties_for_sale_mini.csv,13,"Shaw Lodge, Lodge Street, Rochdale, Greater Manchester, OL12",Ol12,,53.647922,-2.132383,gcw3pq,Apartment,1 bedroom apartment for sale,1,"FOR SALE BY LIVE STREAM AUCTION ON TUESDAY 8TH DECEMBER 2020 AT 2PM *GUIDE PRICE £50,000 - £60,000. A First Floor One Bedroomed Furnished Apartment Producing a Gross Income of £5,940pa/£495pcm. Conveniently positioned within walking distance of Wardle village amenities, lo...",50000,50000.0,buy,BUY,True,6,0,1,False,True,False,False,False,False,False,False,"by Auction House, Manchester",Auction House,Manchester,,,unknown,50–100k,2.9459101490553135,E05000756
99715109,ebf823951922c37b54083b95b4db544d3e9bd297,True,manchester_properties_for_sale_mini.csv,49,"Melton Road, Manchester, Greater Manchester, M8",M8,,53.51901,-2.24942,gcw2ky,Flat,2 bedroom flat for sale,2,Over 55's development. 45% Shared Ownership. Popular development in great location adjacent to Middleton Road and close to local amenities. First floor flat with chair lift. 2 bedrooms. Lounge. Kitchen. Bath/wc combined. Gas central heating. uPVC double glazing. Communal gardens. Outside store room.,39950,39950.0,buy,BUY,False,8,0,1,False,True,False,False,False,False,False,False,"by Aubrey Lee & Co, Blackley",Aubrey Lee & Co,Blackley,,,unknown,<50k,3.1972245773362196,E05000698
87024346,f33bafffa18de3c2590078b6cf7126e909627029,True,manchester_properties_for_sale_mini.csv,73,"Land on the north side of Huddersfield road, Oldham",Oldham,,53.55218,-2.061785,gcw89h,Land,Land for sale,0,"For sale by auction starting on Monday 14th December 2020, bidding will be on the Auction Agent website. A plot of land suitable for a variety of uses subject to any consents. The land is located off Huddersfield Road and accessed via Back O' Th' Low Road in Oldham. We have not formerly measured ...",20000,20000.0,buy,COMMERCIAL_BUY,True,3,0,0,False,False,False,False,False,False,False,False,"Marketed by Auction Agent, Rossendale",Auction Agent,Rossendale,,,unknown,<50k,1.3862943611198906,E05000731
77534137,f4a3805e6f0405b9cb630c359c6900b99c5c1c69,True,manchester_properties_for_sale_mini.csv,44,"Chapel Street, Salford",Salford,,53.484081,-2.254162,gcw2k8,Parking,Parking for sale,0,"Online Estate Agents are able to offer two secure parking spaces in the prestigious ""Fresh"" . Situated in the heart of the city. Fresh is just across the road from the 5 Star Lowry Hotel",40000,40000.0,buy,BUY,False,2,0,0,False,False,True,False,False,False,False,False,"by Sellmyhome.co.uk, London",Sellmyhome.co.uk,London,,,unknown,<50k,1.0986122886681098,E05000770
86061205,fd82460531566387b0f5a23253f36f814f7171a5,True,manchester_properties_for_sale_mini.csv,81,"Demesne Road, MANCHESTER",Manchester,,53.44845,-2.246984,gcw2hc,Ground Flat,1 bedroom ground floor flat for sale,1,"GUIDE PRICE £8,000 - For more information and legal documents visit our website",8000,8000.0,buy,BUY,True,1,0,0,False,False,False,False,False,False,False,False,"by Barnard Marcus, Hammersmith Auctions",Barnard Marcus,Hammersmith Auctions,,,unknown,<50k,0.6931471805599453,E05000716
73973631,feb2b6497659a4566bac662d75b6f5179c654dd9,True,manchester_properties_for_sale_mini.csv,70,"Merchants Wharf, Ordsall Lane, Manchester, M5 4TT",Manchester,M54TT,53.47267,-2.26948,gcw2hq,Parking,Parking for sale,0,"Invest in a secure car parking space for just £20,000 in a prime central Manchester area! Earn up to 6.5% rental return with opportunities to invest in buy to let apartments within the development.",20000,20000.0,buy,BUY,False,10,2,0,True,False,True,False,False,False,False,False,"by RW Invest, London",RW Invest,London,,,unknown,<50k,3.3978952727983707,E05000770
